Date,Time,S&P,Dow_Jones,NASDAQ,Skype（Microsoft）,Cisco,Facebook,Trading_Volume,Prev_Avg_Price,True_Price,,From 2019.4.18 11:30 To 2020.4.17 16:00,,,Pre_Avg_Price: Average Open Stock Price of Zoom one hour earlier,,
2019/06/11,2019/06/11 16:00,2885.72,26048.51,7822.57,130.86,55.39,178.10,1932727,95.39,94.87,,,,,,,
2019/06/12,2019/06/12 10:30,2878.18,25999.50,7779.01,129.51,54.60,176.83,369021,94.87,96.18,,,,,,,
2019/06/12,2019/06/12 11:30,2880.45,26013.41,7792.36,129.95,54.51,177.25,147113,96.18,97.12,,,,,,,
2019/06/12,2019/06/12 12:30,2879.35,26011.33,7789.88,129.93,54.33,175.05,169084,97.12,98.79,,,,,,,
2019/06/12,2019/06/12 13:30,2880.07,26006.04,7791.87,129.99,54.06,174.79,134788,98.79,99.65,,,,,,,
2019/06/12,2019/06/12 14:30,2878.01,25985.89,7787.59,130.01,54.09,174.25,255567,99.67,101.22,,,,,,,
2019/06/12,2019/06/12 15:30,2878.82,25998.13,7789.01,130.08,54.20,174.13,222135,101.22,101.01,,,,,,,
2019/06/12,2019/06/12 16:00,2879.84,26004.83,7792.72,130.25,54.18,175.04,1855413,101.01,102.77,,,,,,,
2019/06/13,2019/06/13 10:30,2890.62,26074.87,7836.62,130.93,54.40,177.33,702937,102.77,100.00,,,,,,,
2019/06/13,2019/06/13 11:30,2887.23,26052.10,7825.36,130.74,54.31,176.87,238049,100.03,99.97,,,,,,,
2019/06/13,2019/06/13 12:30,2886.40,26052.44,7826.29,130.44,54.26,177.22,203393,99.91,100.83,,,,,,,
2019/06/13,2019/06/13 13:30,2892.32,26114.93,7839.11,130.71,54.48,176.91,184185,100.83,102.49,,,,,,,
2019/06/13,2019/06/13 14:30,2889.04,26082.79,7831.64,130.89,54.38,176.68,81004,102.37,101.80,,,,,,,
2019/06/13,2019/06/13 15:30,2884.73,26048.01,7821.87,130.83,54.28,176.94,165402,101.80,101.00,,,,,,,
2019/06/13,2019/06/13 16:00,2891.64,26106.77,7837.13,131.08,54.48,177.47,1583063,101.00,100.95,,,,,,,
2019/06/14,2019/06/14 10:30,2883.04,26040.97,7794.46,130.99,53.36,180.44,417559,100.95,103.74,,,,,,,
2019/06/14,2019/06/14 11:30,2884.72,26069.35,7794.25,131.22,53.36,180.65,240184,103.74,100.85,,,,,,,
2019/06/14,2019/06/14 12:30,2884.24,26073.87,7793.92,131.39,53.22,180.84,136098,100.82,99.94,,,,,,,
2019/06/14,2019/06/14 13:30,2884.15,26070.81,7794.12,131.53,53.23,180.47,106174,99.94,101.02,,,,,,,
2019/06/14,2019/06/14 14:30,2886.78,26095.44,7797.97,131.63,53.07,180.25,86767,101.02,101.12,,,,,,,
2019/06/14,2019/06/14 15:30,2891.71,26136.57,7813.28,131.81,53.14,181.39,53024,101.12,100.87,,,,,,,
2019/06/14,2019/06/14 16:00,2886.99,26089.61,7796.66,131.20,53.10,181.33,847234,100.94,100.29,,,,,,,
2019/06/17,2019/06/17 10:30,2895.17,26147.70,7856.13,131.96,53.77,186.06,237101,100.29,100.43,,,,,,,
2019/06/17,2019/06/17 11:30,2894.01,26149.13,7852.72,131.69,53.56,187.17,242622,100.30,98.83,,,,,,,
2019/06/17,2019/06/17 12:30,2890.90,26121.15,7845.78,131.54,53.60,186.50,139529,98.79,98.90,,,,,,,
2019/06/17,2019/06/17 13:30,2892.42,26132.12,7856.57,131.87,53.71,186.88,90360,98.82,98.89,,,,,,,
2019/06/17,2019/06/17 14:30,2893.80,26140.29,7858.51,131.83,53.63,187.58,143624,98.93,98.51,,,,,,,
2019/06/17,2019/06/17 15:30,2891.54,26127.13,7849.42,131.59,53.63,188.98,183729,98.50,97.96,,,,,,,
2019/06/17,2019/06/17 16:00,2889.67,26112.53,7845.02,131.60,53.73,189.01,1085893,97.96,98.11,,,,,,,
2019/06/18,2019/06/18 10:30,2924.95,26446.52,7990.96,133.40,54.72,191.95,430082,98.11,99.34,,,,,,,
2019/06/18,2019/06/18 11:30,2923.73,26463.90,7983.14,133.35,54.73,191.03,329840,99.38,100.06,,,,,,,
2019/06/18,2019/06/18 12:30,2920.91,26455.61,7964.59,133.03,54.62,188.96,152891,100.06,99.88,,,,,,,
2019/06/18,2019/06/18 13:30,2917.49,26436.76,7956.36,133.28,54.45,188.60,81154,99.88,99.56,,,,,,,
2019/06/18,2019/06/18 14:30,2922.41,26496.23,7970.36,133.77,54.56,189.40,68999,99.83,99.94,,,,,,,
2019/06/18,2019/06/18 15:30,2919.09,26485.30,7961.82,133.79,54.43,188.86,85920,99.93,99.83,,,,,,,
2019/06/18,2019/06/18 16:00,2917.75,26465.54,7953.88,133.89,54.36,188.47,1109426,99.97,99.64,,,,,,,
2019/06/19,2019/06/19 10:30,2917.98,26506.20,7947.07,133.06,54.50,185.47,391151,99.64,102.75,,,,,,,
2019/06/19,2019/06/19 11:30,2919.35,26516.33,7958.07,133.22,54.43,186.64,355114,102.71,103.80,,,,,,,
2019/06/19,2019/06/19 12:30,2917.43,26484.46,7952.31,133.23,54.43,186.29,148401,103.79,103.28,,,,,,,
2019/06/19,2019/06/19 13:30,2915.92,26466.71,7944.98,132.82,54.43,185.73,74460,103.14,101.87,,,,,,,
